Index,Date Created,Radiation(uSv/h)
186,4/4/2023,0.037913215
187,5/4/2023,-0.008594195
188,6/4/2023,0.011019472
189,7/4/2023,-0.038033004
190,8/4/2023,0.044431188
191,9/4/2023,-0.022346909
192,10/4/2023,-0.019038576
193,11/4/2023,-0.004670497
194,12/4/2023,0.05193346
195,13/4/2023,-0.055778206
196,14/4/2023,0.031502318
197,15/4/2023,-0.035004254
198,16/4/2023,-0.005653969
199,17/4/2023,0.125453266
200,18/4/2023,-0.020078083
201,19/4/2023,0.02684069
202,20/4/2023,-0.022957137
203,21/4/2023,-0.040243509
204,22/4/2023,-0.051250273
205,23/4/2023,-0.04431206
206,24/4/2023,0.030360654
207,25/4/2023,0.018909917
208,26/4/2023,0.051248725
209,27/4/2023,-0.035991298
210,28/4/2023,-0.038985519
211,29/4/2023,-0.031054991
212,30/4/2023,-0.065460395
213,1/5/2023,-0.023977702
214,2/5/2023,-0.037042436
215,3/5/2023,0.111818608
216,4/5/2023,-0.084570151
217,5/5/2023,0.024356965
218,6/5/2023,0.020589432
219,7/5/2023,-0.065383475
220,8/5/2023,-0.001082468
221,9/5/2023,-0.037261263
222,10/5/2023,0.092792058
223,11/5/2023,-0.107379956
224,12/5/2023,-0.075559293
225,13/5/2023,-0.076596464
226,14/5/2023,-0.043726674
227,15/5/2023,0.044229468
228,16/5/2023,-0.036164869
229,17/5/2023,0.019472498
230,18/5/2023,0.039007629
231,19/5/2023,-0.000855292
232,20/5/2023,0.021191801
233,21/5/2023,-0.029924224
234,22/5/2023,0.138174891
235,23/5/2023,-0.00554803
236,24/5/2023,0.055195937
237,25/5/2023,-0.008748602
238,26/5/2023,-0.038528972
239,27/5/2023,0.077510184
240,28/5/2023,0.001386929
241,29/5/2023,0.040367676
242,30/5/2023,-0.057082874
243,31/5/2023,0.043874616
244,1/6/2023,-0.02726679
245,2/6/2023,-0.043099982
246,3/6/2023,-0.050612128
247,4/6/2023,-0.062709966
248,5/6/2023,-0.04814141
249,6/6/2023,-0.012647834
250,7/6/2023,-0.039649115
251,8/6/2023,0.024342256
252,9/6/2023,-0.044148302
253,10/6/2023,-0.034566372
254,11/6/2023,0.02507418
255,12/6/2023,0.049961708
256,13/6/2023,0.064681707
257,14/6/2023,0.038929269
258,15/6/2023,-0.014946286
259,16/6/2023,0.00698815
260,17/6/2023,-0.007476132
261,18/6/2023,0.017343325
262,19/6/2023,0.040344306
263,20/6/2023,-0.008203266
264,21/6/2023,-0.036593015
265,22/6/2023,-0.00801724
266,23/6/2023,-0.041269784
267,24/6/2023,-0.013768204
268,25/6/2023,-0.042602612
269,26/6/2023,0.025282796
270,27/6/2023,0.107405606
271,28/6/2023,0.07574665
272,29/6/2023,0.040738145
273,30/6/2023,0.017463469
274,1/7/2023,-0.006262997
275,2/7/2023,0.082629121
276,3/7/2023,0
277,4/7/2023,-0.036632874
278,5/7/2023,-0.040844622
279,6/7/2023,0.03847192
280,7/7/2023,-0.026878399
281,8/7/2023,-0.052704595
282,9/7/2023,-0.010973939
283,10/7/2023,-0.016098756
284,11/7/2023,0
285,12/7/2023,0
286,13/7/2023,0
287,14/7/2023,0
288,15/7/2023,0
289,16/7/2023,0
290,17/7/2023,-0.136846115
291,18/7/2023,-0.002243844
292,19/7/2023,0.033739935
293,20/7/2023,0.196780754
294,21/7/2023,-0.080999526
295,22/7/2023,-0.021519258
296,23/7/2023,-0.010274536
297,24/7/2023,0.023424573
298,25/7/2023,0.032960838
299,26/7/2023,0.018626978
300,27/7/2023,0.019071282
301,28/7/2023,0.065941106
302,29/7/2023,-0.06579007
303,30/7/2023,-0.007021137
304,31/7/2023,-0.029020812
305,1/8/2023,-0.027979891
306,2/8/2023,0.073358903
307,3/8/2023,0.000897856
308,4/8/2023,-0.000296329
309,5/8/2023,-0.042453715
310,6/8/2023,-0.019147456
311,7/8/2023,0.117442832
312,8/8/2023,0.001011986
